method,condition,cls,metric,iou,gt_objects,has_gt,ap,strong_minus_method
Strong,parkinglots,bus,3d,0.3,361,True,66.7891103992397,0.0
Strong,parkinglots,bus,bev,0.7,361,True,19.817677454932678,0.0
Strong,parkinglots,bus,bev,0.5,361,True,51.34177197904543,0.0
Strong,parkinglots,bus,bev,0.3,361,True,67.05096464086905,0.0
Strong,shoulder,sed,3d,0.7,861,True,77.38051348362906,0.0
Strong,shoulder,sed,3d,0.5,861,True,94.57080791966906,0.0
Strong,shoulder,sed,3d,0.3,861,True,97.32176294379819,0.0
Strong,shoulder,sed,bev,0.7,861,True,90.76199212452104,0.0
Strong,shoulder,sed,bev,0.5,861,True,97.42481899043605,0.0
Strong,shoulder,sed,bev,0.3,861,True,99.83038797897997,0.0
Strong,shoulder,bus,3d,0.7,0,False,0.0,0.0
Strong,shoulder,bus,3d,0.5,0,False,0.0,0.0
Strong,shoulder,bus,3d,0.3,0,False,0.0,0.0
Strong,shoulder,bus,bev,0.7,0,False,0.0,0.0
Strong,shoulder,bus,bev,0.5,0,False,0.0,0.0
Strong,shoulder,bus,bev,0.3,0,False,0.0,0.0
Strong,mountain,sed,3d,0.7,1086,True,10.114399327195702,0.0
Strong,mountain,sed,3d,0.5,1086,True,66.29358514248841,0.0
Strong,mountain,sed,3d,0.3,1086,True,89.47650124812243,0.0
Strong,mountain,sed,bev,0.7,1086,True,74.36676553071966,0.0
Strong,mountain,sed,bev,0.5,1086,True,91.63194436937057,0.0
Strong,mountain,sed,bev,0.3,1086,True,92.1312689546302,0.0
Strong,mountain,bus,3d,0.7,598,True,15.122482154437296,0.0
Strong,mountain,bus,3d,0.5,598,True,51.79729009014468,0.0
Strong,mountain,bus,3d,0.3,598,True,59.19952551026516,0.0
Strong,mountain,bus,bev,0.7,598,True,38.34811226094517,0.0
Strong,mountain,bus,bev,0.5,598,True,56.0950666799367,0.0
Strong,mountain,bus,bev,0.3,598,True,59.19952551026516,0.0
Strong,university,sed,3d,0.7,2599,True,4.998552200726408,0.0
Strong,university,sed,3d,0.5,2599,True,44.96284351787703,0.0
Strong,university,sed,3d,0.3,2599,True,69.713438137072,0.0
Strong,university,sed,bev,0.7,2599,True,30.40756965753455,0.0
Strong,university,sed,bev,0.5,2599,True,66.0374101367436,0.0
Strong,university,sed,bev,0.3,2599,True,72.21129353206112,0.0
Strong,university,bus,3d,0.7,25,True,0.0,0.0
Strong,university,bus,3d,0.5,25,True,0.0,0.0
Strong,university,bus,3d,0.3,25,True,0.0,0.0
Strong,university,bus,bev,0.7,25,True,0.0,0.0
Strong,university,bus,bev,0.5,25,True,0.0,0.0
Strong,university,bus,bev,0.3,25,True,0.0,0.0
ASF_local,all,sed,3d,0.7,29613,True,11.579220369262275,0.7290631982188192
ASF_local,all,sed,3d,0.5,29613,True,51.52114677058114,0.6207630168442151
ASF_local,all,sed,3d,0.3,29613,True,74.45187402974639,0.1324754055645485
ASF_local,all,sed,bev,0.7,29613,True,42.22969759194281,2.0272041833491414
ASF_local,all,sed,bev,0.5,29613,True,71.11499969696642,0.15060324544845116
ASF_local,all,sed,bev,0.3,29613,True,77.36881467763101,-0.04804489560380887
ASF_local,all,bus,3d,0.7,5843,True,7.5157175195115835,2.399817645945471
ASF_local,all,bus,3d,0.5,5843,True,27.875481584672073,6.090603126175729
ASF_local,all,bus,3d,0.3,5843,True,55.091902649718996,4.152283038452332
ASF_local,all,bus,bev,0.7,5843,True,16.836022543518915,6.291998626955277
ASF_local,all,bus,bev,0.5,5843,True,46.43092729921634,4.161593287648678
ASF_local,all,bus,bev,0.3,5843,True,64.26718315879398,0.8700341198209003
ASF_local,normal,sed,3d,0.7,15988,True,5.248967629947662,0.30476112891145135
ASF_local,normal,sed,3d,0.5,15988,True,48.89650857937281,0.4940782882735846
ASF_local,normal,sed,3d,0.3,15988,True,73.44625344793056,0.0683339508746883
ASF_local,normal,sed,bev,0.7,15988,True,35.76296358845472,-0.17586434761935266
ASF_local,normal,sed,bev,0.5,15988,True,69.90203560568324,0.10336300915371055
ASF_local,normal,sed,bev,0.3,15988,True,76.19435412903167,-0.06466910269786297
ASF_local,normal,bus,3d,0.7,2763,True,4.750194717009211,-2.267422296179031
ASF_local,normal,bus,3d,0.5,2763,True,21.15628866865333,2.7798481937201736
ASF_local,normal,bus,3d,0.3,2763,True,50.39001504832407,1.2408753549634781
ASF_local,normal,bus,bev,0.7,2763,True,10.069087235844483,0.3334844506425494
ASF_local,normal,bus,bev,0.5,2763,True,33.66583616324587,1.46926727522537
ASF_local,normal,bus,bev,0.3,2763,True,54.57416002087643,0.9515565103961592
ASF_local,lightsnow,sed,3d,0.7,1360,True,11.566225337234563,-0.899835460693085
ASF_local,lightsnow,sed,3d,0.5,1360,True,59.24974658756845,1.4952761758633457
ASF_local,lightsnow,sed,3d,0.3,1360,True,89.77436590173353,-0.21891693462001172
