method,baseline,cls,group,gt,common_tp_3D,gained,lost,recall_delta_3D,recall_delta_BEV,common_tp_objdec_lr_xy_m,common_tp_l4dr_xy_m,common_tp_objdec_lr_z_m,common_tp_l4dr_z_m,common_tp_objdec_lr_size_l1_m,common_tp_l4dr_size_l1_m,common_tp_objdec_lr_yaw_axis_deg,common_tp_l4dr_yaw_axis_deg,common_tp_objdec_clr_xy_m,common_tp_asf_xy_m,common_tp_objdec_clr_z_m,common_tp_asf_z_m,common_tp_objdec_clr_size_l1_m,common_tp_asf_size_l1_m,common_tp_objdec_clr_yaw_axis_deg,common_tp_asf_yaw_axis_deg
objdec_clr,asf,Vehicle,radar:6-20,848,751,17,26,-0.01061320754716981,-0.003537735849056604,,,,,,,,,0.1028462855831116,0.10587229953456258,0.04200625533706815,0.03979141253000807,0.20385518420075927,0.20065441699859782,1.5915153155171158,1.6021252033971862
objdec_lr,l4dr,Vehicle,radar:21+,2027,1948,19,18,0.000493339911198816,0.00493339911198816,0.08422026631362102,0.08490245602277942,0.03270607749554778,0.030640015122815355,0.18531673969184592,0.1861270831350918,1.2540374424541103,1.2607195227159567,,,,,,,,
objdec_clr,asf,Vehicle,radar:21+,2027,1944,12,26,-0.006906758756783424,-0.005426739023186976,,,,,,,,,0.08430367722710184,0.08294354845281525,0.032118761222119686,0.030732008195942108,0.18186794859146385,0.17690919934476845,1.2237480297073404,1.2627320210065685
objdec_lr,l4dr,Pedestrian,all,3624,2987,148,137,0.0030353200883002206,0.006622516556291391,0.06656447422090023,0.06690488325274176,0.05522318069636323,0.05332524949203956,0.13323263839450936,0.13339274248671365,13.686575745036482,14.280600295426543,,,,,,,,
objdec_clr,asf,Pedestrian,all,3624,2935,165,156,0.0024834437086092716,0.0027593818984547464,,,,,,,,,0.06576432983499668,0.06577713549949445,0.054298438058191914,0.052113815454141045,0.13192806192110507,0.12953304870774432,12.423633335980062,13.16530100861063
objdec_lr,l4dr,Pedestrian,range:0-30,1486,1318,47,44,0.002018842530282638,0.0013458950201884253,0.06387716674137074,0.06459674104159255,0.0454667866433517,0.04253488383220568,0.12294951169461871,0.1257392201736592,13.189372166257876,13.95322930573825,,,,,,,,
objdec_clr,asf,Pedestrian,range:0-30,1486,1321,39,44,-0.0033647375504710633,-0.0026917900403768506,,,,,,,,,0.06305177502311557,0.062368154899413886,0.04430820171937719,0.04156665813620573,0.12337311732326828,0.12098596427225868,12.229677227211868,12.92527298239626
objdec_lr,l4dr,Pedestrian,range:30-60,1792,1398,79,71,0.004464285714285714,0.0078125,0.06773907141015534,0.06765275625931699,0.06122984678533797,0.05785490514894412,0.14274239373821046,0.14043541171605325,13.81933291572718,14.244312662989529,,,,,,,,
objdec_clr,asf,Pedestrian,range:30-60,1792,1377,87,88,-0.0005580357142857143,-0.0005580357142857143,,,,,,,,,0.06805261918899895,0.06814668917711945,0.0607065168536047,0.057358866261241225,0.1401379759881318,0.13685190283741394,12.142997041287558,13.103783804971561
objdec_lr,l4dr,Pedestrian,range:60+,346,271,22,22,0.0,0.023121387283236993,0.0735747487133032,0.07427242927157021,0.0716866794767415,0.08243684850055794,0.13418659787776285,0.13428459055309366,15.419859111105154,16.059954814083802,,,,,,,,
objdec_clr,asf,Pedestrian,range:60+,346,237,39,24,0.04335260115606936,0.04335260115606936,,,,,,,,,0.06758842462838828,0.07101083996623189,0.07275066465013641,0.08042757011918579,0.13191131147151255,0.13464965800192788,15.13524598355124,14.860601481354008
objdec_lr,l4dr,Pedestrian,lidar:0-5,36,1,2,0,0.05555555555555555,0.08333333333333333,0.058913569897413254,0.09800467640161514,0.09945487976074219,0.14286553859710693,0.06228506565093994,0.028448283672332764,4.1442482421275875,27.962693830427487,,,,,,,,
objdec_clr,asf,Pedestrian,lidar:0-5,36,2,0,3,-0.08333333333333333,-0.1388888888888889,,,,,,,,,0.062205974012613297,0.06506944447755814,0.13011184334754944,0.12889811396598816,0.16999036073684692,0.14781299233436584,11.501161793609544,8.507387427555404
objdec_lr,l4dr,Pedestrian,lidar:6-20,314,179,31,27,0.012738853503184714,0.03184713375796178,0.07761891995291303,0.07754936351508485,0.07799258320358213,0.08955464557895447,0.1350503976784605,0.13051495472146146,20.826200286471718,20.26125619918742,,,,,,,,
objdec_clr,asf,Pedestrian,lidar:6-20,314,179,30,24,0.01910828025477707,0.006369426751592357,,,,,,,,,0.06914605190144987,0.0730584162292617,0.08886542566661729,0.08443232455067129,0.12737748792717576,0.12951332980028077,19.25932079846934,19.724982043300265
objdec_lr,l4dr,Pedestrian,lidar:21-100,2229,1832,87,89,-0.0008972633467922835,0.0026917900403768506,0.06714298215019364,0.0671652711145773,0.05945122631583932,0.05673645190308969,0.13664476570213727,0.1343431918349068,14.153447438708353,14.744559949311848,,,,,,,,
objdec_clr,asf,Pedestrian,lidar:21-100,2229,1776,117,107,0.004486316733961417,0.004037685060565276,,,,,,,,,0.06712562223100092,0.06730479042718045,0.05756597150419209,0.055388419142177514,0.1348509536300962,0.1313191769929888,12.515734340704507,13.526186865582703
objdec_lr,l4dr,Pedestrian,lidar:101+,1045,975,28,21,0.0066985645933014355,0.004784688995215311,0.06345583687918499,0.06442950651121254,0.04305319677560757,0.04017250589644297,0.12656038345434728,0.13224284019225682,11.508360967374054,12.296812001861339,,,,,,,,
objdec_clr,asf,Pedestrian,lidar:101+,1045,978,18,22,-0.003827751196172249,0.003827751196172249,,,,,,,,,0.0626806214162299,0.061671768403221645,0.04188304236025411,0.040095126420137586,0.12737527303778565,0.12625575419096371,11.00715634508901,11.318879372588407
objdec_lr,l4dr,Pedestrian,radar:0,1906,1488,96,89,0.0036726128016789086,0.013116474291710388,0.06721038385657394,0.06765871383475079,0.06215620573650124,0.06202615682230962,0.14130068173812282,0.13943832622019833,14.80896138284403,15.151264957323619,,,,,,,,
objdec_clr,asf,Pedestrian,radar:0,1906,1432,117,111,0.0031479538300104933,0.005246589716684155,,,,,,,,,0.06633813696461092,0.06659681091976727,0.06238143561231024,0.060212575102110484,0.13973896929671645,0.13786069488974922,13.15134220903335,13.792125983863487
objdec_lr,l4dr,Pedestrian,radar:1-5,731,591,33,34,-0.0013679890560875513,0.004103967168262654,0.06804347992382231,0.06736546971948656,0.05618648402481111,0.05310623821772496,0.13241661336216223,0.12944268721412686,15.565669980230371,16.222526965145494,,,,,,,,
objdec_clr,asf,Pedestrian,radar:1-5,731,601,31,25,0.008207934336525308,0.004103967168262654,,,,,,,,,0.06856114230430166,0.06707013664905062,0.05577974274333027,0.05146254142885795,0.1292821656348503,0.12546883838347309,13.383527752225383,14.890017481535573
objdec_lr,l4dr,Pedestrian,radar:6-20,556,496,13,12,0.0017985611510791368,-0.008992805755395683,0.06637855604217734,0.06604728638053677,0.046292384064966635,0.04062404886128441,0.11885949122088571,0.12147606644899614,11.83105932006514,12.83240463191747,,,,,,,,
objdec_clr,asf,Pedestrian,radar:6-20,556,493,16,13,0.00539568345323741,0.0,,,,,,,,,0.06467329555721935,0.06619817384237209,0.041563748557717516,0.04000452931584983,0.1174644747442938,0.11475741192245097,11.86215464526839,12.797925115185851
objdec_lr,l4dr,Pedestrian,radar:21+,431,412,6,2,0.009280742459396751,0.002320185614849188,0.06233391477511653,0.06455406174967879,0.039553330216592957,0.03750554334770129,0.1225678405715424,0.13157071672307635,9.171239882727177,10.093894883760894,,,,,,,,
objdec_clr,asf,Pedestrian,radar:21+,431,409,1,7,-0.013921113689095127,-0.0069605568445475635,,,,,,,,,0.06096067163275787,0.06049977414068609,0.039171507276940756,0.03931154146754071,0.12590242080700134,0.12415845214883389,9.14205227032018,8.879111156944214
objdec_lr,l4dr,Cyclist,all,3364,2904,110,76,0.010107015457788348,0.0089179548156956,0.09504893740917943,0.09643812001151733,0.0505033072479295,0.04966103364315818,0.15532933189931322,0.15373716991877096,5.119163504238131,5.141966811746528,,,,,,,,
objdec_clr,asf,Cyclist,all,3364,2918,115,83,0.009512485136741973,0.009809750297265161,,,,,,,,,0.0979904609036072,0.09556201120440844,0.051659580755460496,0.05078107690549698,0.1580402570035541,0.15628823488848598,4.972115398406238,4.965098729381684
objdec_lr,l4dr,Cyclist,range:0-30,1166,1081,31,14,0.014579759862778732,0.014579759862778732,0.08641941027882079,0.089160818588092,0.036875952624480665,0.03605057711296893,0.1585939728915967,0.15586702791658624,4.371691594653249,4.582867360035304,,,,,,,,
objdec_clr,asf,Cyclist,range:0-30,1166,1098,15,19,-0.003430531732418525,-0.007718696397941681,,,,,,,,,0.0879929464209472,0.08662310993733166,0.03911715683498452,0.03773492946542243,0.16110305501680774,0.16190311307247002,4.392218150963532,4.475186024310866
objdec_lr,l4dr,Cyclist,range:30-60,1716,1468,57,35,0.01282051282051282,0.008158508158508158,0.09852802130888211,0.09896437969402605,0.05453276460132579,0.05298815614845837,0.15219277801240821,0.1510350827625077,5.405006034035913,5.34231146864104,,,,,,,,
objdec_clr,asf,Cyclist,range:30-60,1716,1472,63,44,0.011072261072261072,0.008741258741258742,,,,,,,,,0.10129230875400422,0.09900582543733712,0.054243942224116916,0.05307179919707224,0.15468534227946532,0.15125825867542755,5.171281052609423,5.0828148396473365
objdec_lr,l4dr,Cyclist,range:60+,482,355,22,27,-0.01037344398340249,-0.002074688796680498,0.10693970829130374,0.1081513978278553,0.07533690429909129,0.07734747778781703,0.15835858314809664,0.15842530358005577,6.2132488578102825,6.015996532813254,,,,,,,,
objdec_clr,asf,Cyclist,range:60+,482,348,37,20,0.035269709543568464,0.056016597510373446,,,,,,,,,0.11556790592135519,0.1091988475273374,0.08030153875207079,0.08225442942274713,0.1625675048636294,0.1598485473586225,5.95934337169648,6.012932165751564
objdec_lr,l4dr,Cyclist,lidar:0-5,46,0,7,0,0.15217391304347827,0.15217391304347827,,,,,,,,,,,,,,,,
objdec_clr,asf,Cyclist,lidar:0-5,46,3,1,6,-0.10869565217391304,-0.13043478260869565,,,,,,,,,0.21378055214881897,0.20275916904211044,0.11930986245473225,0.06542825698852539,0.2493607997894287,0.24599210421244302,3.775163944211661,2.4590113835964367
objdec_lr,l4dr,Cyclist,lidar:6-20,204,97,10,16,-0.029411764705882353,-0.029411764705882353,0.10972382220410809,0.11234199719445914,0.0893675992169331,0.08595995374561585,0.1443436072044766,0.1411119730202193,7.582481992000102,7.526056489592928,,,,,,,,
objdec_clr,asf,Cyclist,lidar:6-20,204,90,21,17,0.0196078431372549,0.029411764705882353,,,,,,,,,0.13188264665659516,0.12156294825383358,0.09825223386287689,0.09309417439831627,0.15084076325098675,0.16479357679684956,7.520725031469161,7.312907532838803
objdec_lr,l4dr,Cyclist,lidar:21-100,1782,1536,61,52,0.005050505050505051,0.003928170594837262,0.10160303171725597,0.103099709423077,0.05769019563740585,0.058264281886901394,0.15386528432524452,0.15257186225305,5.731242283549707,5.62940195921776,,,,,,,,
objdec_clr,asf,Cyclist,lidar:21-100,1782,1534,80,50,0.016835016835016835,0.018518518518518517,,,,,,,,,0.10546608599412195,0.10152380427966717,0.058883936745460684,0.059328878543678444,0.15823008160858454,0.15325732663215527,5.476293838949567,5.579222572219044
objdec_lr,l4dr,Cyclist,lidar:101+,1332,1271,32,8,0.018018018018018018,0.016516516516516516,0.08600837668351959,0.08717385768035997,0.03885193282839447,0.036493775930862365,0.15793703635971346,0.15610896903262375,4.191472789576061,4.370954156147067,,,,,,,,
objdec_clr,asf,Cyclist,lidar:101+,1332,1291,13,10,0.0022522522522522522,0.0,,,,,,,,,0.08647591723176044,0.08641633623507593,0.0396700751679891,0.037640528472055304,0.15810439477679714,0.15908825106624483,4.198146583219138,4.077530561150627
objdec_lr,l4dr,Cyclist,radar:0,1530,1218,70,55,0.00980392156862745,0.0058823529411764705,0.10122629961433587,0.10336233014110874,0.060393484134979435,0.05836783251029321,0.15303017984470124,0.1493441714539708,5.911630870652797,5.761937740009303,,,,,,,,
objdec_clr,asf,Cyclist,radar:0,1530,1227,80,54,0.01699346405228758,0.023529411764705882,,,,,,,,,0.10510686490879817,0.10149393445366618,0.06100045977966418,0.06037990946228561,0.1558294352614598,0.15148457406299717,5.721695387855307,5.74292482596276
objdec_lr,l4dr,Cyclist,radar:1-5,701,612,23,13,0.014265335235378032,0.018544935805991442,0.0972379419550884,0.0979126250140028,0.05320416618552473,0.051940864548574085,0.15355746214296304,0.15374879052046858,4.973275452587518,5.107632092605197,,,,,,,,
objdec_clr,asf,Cyclist,radar:1-5,701,618,20,11,0.012838801711840228,0.007132667617689016,,,,,,,,,0.10075827029346816,0.10001641113844528,0.0526194282744116,0.052204237654081824,0.15713902295214457,0.15875054331659114,4.931761196035914,4.881894417776577
objdec_lr,l4dr,Cyclist,radar:6-20,582,538,13,3,0.01718213058419244,0.013745704467353952,0.09173863018398973,0.09123601050715076,0.0422432856378059,0.04404865028025049,0.16404293948389784,0.16658878614468203,4.675752032442508,4.830416502498029,,,,,,,,
objdec_clr,asf,Cyclist,radar:6-20,582,538,13,11,0.003436426116838488,-0.003436426116838488,,,,,,,,,0.09363537590403705,0.09180186112535958,0.044534595427016786,0.042807740072778606,0.16661208369474872,0.1663500358624086,4.382833502029459,4.418736043521687
objdec_lr,l4dr,Cyclist,radar:21+,551,536,4,5,-0.0018148820326678765,0.0,0.08183484662405854,0.08424157134358035,0.03323601341959256,0.03290604243972408,0.15383088155024088,0.1508069288597178,3.930009786221634,4.0850681622430285,,,,,,,,
objdec_clr,asf,Cyclist,radar:21+,551,535,2,7,-0.009074410163339383,-0.010889292196007259,,,,,,,,,0.08285158578672003,0.08059317336600517,0.036292847628905396,0.035140655085305186,0.15553184235207387,0.15434269526294458,3.89218625870822,3.826726335100664
