model,cls,group,gt,tp_3D,recall_3D,tp_BEV,recall_BEV,tp_mean_xy_m,tp_mean_z_m,tp_mean_size_l1_m,tp_mean_yaw_axis_deg
l4dr,all,range:60+,1659,1238,0.7462326702833032,1407,0.8481012658227848,0.11257543138142596,0.08042949792569404,0.2074018466212638,6.6702053900879035
objdec_clr,all,lidar:0-5,170,11,0.06470588235294118,18,0.10588235294117647,0.1717456906864589,0.09706600687720558,0.20843362266367133,4.839385446567919
objdec_lr,all,lidar:0-5,170,19,0.11176470588235295,29,0.17058823529411765,0.19726930323399997,0.06893418650878103,0.23783780399121737,3.7800032050002885
asf,all,lidar:0-5,170,24,0.1411764705882353,38,0.2235294117647059,0.15604958644447228,0.07311676194270451,0.21173605074485144,5.02516557276349
l4dr,all,lidar:0-5,170,1,0.0058823529411764705,1,0.0058823529411764705,0.09800467640161514,0.14286553859710693,0.028448283672332764,27.962693830427487
objdec_clr,all,lidar:6-20,565,339,0.6,392,0.6938053097345133,0.09762225109482167,0.09221359559919982,0.14209143109729508,14.682763281953614
objdec_lr,all,lidar:6-20,565,328,0.5805309734513274,388,0.6867256637168142,0.09216673761640289,0.08076208271086216,0.14336461174051937,15.782828692268184
asf,all,lidar:6-20,565,321,0.5681415929203539,380,0.672566371681416,0.0967113248223433,0.08505581556079543,0.145228688497781,14.87542872571671
l4dr,all,lidar:6-20,565,335,0.5929203539823009,383,0.6778761061946903,0.09507303887199778,0.09211970487637307,0.13885378641868706,14.696176634345335
objdec_clr,all,lidar:21-100,5228,4403,0.8421958684009181,4714,0.9016832440703902,0.09481486237672727,0.06078000997863465,0.160562052656081,7.9392463940490225
objdec_lr,all,lidar:21-100,5228,4449,0.8509946442234124,4734,0.9055087987758225,0.0931170512894895,0.060214127503732374,0.1615241833498409,8.720670821808158
asf,all,lidar:21-100,5228,4375,0.836840091813313,4671,0.8934583014537107,0.093192851979658,0.05787743787169457,0.1575384051663535,8.352185392690341
l4dr,all,lidar:21-100,5228,4408,0.8431522570772763,4730,0.904743687834736,0.0936892263586747,0.05999206770008629,0.15952139332917553,8.94475495408447
objdec_clr,all,lidar:101+,5891,5646,0.958411135630623,5765,0.9786114411814633,0.08758821642843481,0.038833145569486055,0.17417769262839664,3.7518021995192234
objdec_lr,all,lidar:101+,5891,5679,0.9640129010354779,5784,0.9818367000509252,0.08861897319109546,0.038913996113839125,0.1776899672253574,3.882759237033705
asf,all,lidar:101+,5891,5693,0.9663894075708708,5779,0.9809879477168563,0.08846305632227128,0.03762283850554164,0.17434880191363078,3.756676367600055
l4dr,all,lidar:101+,5891,5654,0.9597691393651333,5754,0.9767441860465116,0.08782358872617319,0.03725651529712157,0.17801032815461956,4.0070722943771795
objdec_clr,all,radar:0,4722,3831,0.8113087674714105,4121,0.8727234222786955,0.09589743571966974,0.06264433360417186,0.16760702743538985,8.01428644718907
objdec_lr,all,radar:0,4722,3861,0.8176620076238882,4137,0.8761118170266836,0.09514634077008707,0.06148360170012958,0.17002685534401404,8.710510817608101
asf,all,radar:0,4722,3805,0.8058026260059297,4081,0.8642524354087251,0.09584460372182341,0.06025992762223963,0.16662804301088963,8.097690031869103
l4dr,all,radar:0,4722,3826,0.8102498941126641,4112,0.8708174502329521,0.0954093234564854,0.062104342065720394,0.16759734956369435,8.761845719696673
objdec_clr,all,radar:1-5,2137,1837,0.8596162845109967,1952,0.9134300421151147,0.0963493187963267,0.05452961046765794,0.16017637691811887,6.793767366453986
objdec_lr,all,radar:1-5,2137,1851,0.8661675245671502,1962,0.9181094992980814,0.09456946414892588,0.05358591771557291,0.16498464102812035,7.629834733721572
asf,all,radar:1-5,2137,1848,0.8647636874122602,1946,0.9106223678053346,0.09601198206151719,0.050591589286278334,0.16297716778013613,7.309974478154453
l4dr,all,radar:1-5,2137,1824,0.8535329901731399,1935,0.9054749649040711,0.0931677200958866,0.05208784288710408,0.16229818645341879,7.797016204731792
objdec_clr,all,radar:6-20,1986,1828,0.9204431017119838,1880,0.94662638469285,0.09113166488643891,0.04357625431986424,0.17017083781357667,5.33154508508773
