variant,checkpoint,epoch,split,metric,value
patch,last,80,test,V2X/Cyclist_BEV_moderate_strict,82.38410238095213
patch,last,80,test,V2X/Cyclist_3D_hard_strict,78.97218883149517
patch,last,80,test,V2X/Cyclist_BEV_hard_strict,82.39274359277827
patch,last,80,test,V2X/Cyclist_3D_easy_loose,91.02528303014802
patch,last,80,test,V2X/Cyclist_BEV_easy_loose,91.24049244668264
patch,last,80,test,V2X/Cyclist_3D_moderate_loose,88.99016115946165
patch,last,80,test,V2X/Cyclist_BEV_moderate_loose,89.191062329863
patch,last,80,test,V2X/Cyclist_3D_hard_loose,88.95561001289082
patch,last,80,test,V2X/Cyclist_BEV_hard_loose,89.11864592477184
patch,last,80,test,V2X/Overall_3D_easy,75.85206722090311
patch,last,80,test,V2X/Overall_BEV_easy,80.28437207034932
patch,last,80,test,V2X/Overall_3D_moderate,72.18349725479813
patch,last,80,test,V2X/Overall_BEV_moderate,78.19417240145809
patch,last,80,test,V2X/Overall_3D_hard,71.92671132851721
patch,last,80,test,V2X/Overall_BEV_hard,77.93433371995252
patch,last,80,test_deduplicated,V2X/Vehicle_3D_easy_strict,85.46220164496083
patch,last,80,test_deduplicated,V2X/Vehicle_BEV_easy_strict,92.45227168328724
patch,last,80,test_deduplicated,V2X/Vehicle_3D_moderate_strict,78.54496797949706
patch,last,80,test_deduplicated,V2X/Vehicle_BEV_moderate_strict,88.83860540739354
patch,last,80,test_deduplicated,V2X/Vehicle_3D_hard_strict,77.87033846812223
patch,last,80,test_deduplicated,V2X/Vehicle_BEV_hard_strict,88.00279451190146
patch,last,80,test_deduplicated,V2X/Vehicle_3D_easy_loose,94.97671990888932
patch,last,80,test_deduplicated,V2X/Vehicle_BEV_easy_loose,95.76274714195038
patch,last,80,test_deduplicated,V2X/Vehicle_3D_moderate_loose,93.30318145275042
patch,last,80,test_deduplicated,V2X/Vehicle_BEV_moderate_loose,94.17122478931412
patch,last,80,test_deduplicated,V2X/Vehicle_3D_hard_loose,92.96689801222475
patch,last,80,test_deduplicated,V2X/Vehicle_BEV_hard_loose,93.81002280250657
patch,last,80,test_deduplicated,V2X/Pedestrian_3D_easy_strict,59.6552321212245
patch,last,80,test_deduplicated,V2X/Pedestrian_BEV_easy_strict,63.58847231926037
patch,last,80,test_deduplicated,V2X/Pedestrian_3D_moderate_strict,59.09380497776755
patch,last,80,test_deduplicated,V2X/Pedestrian_BEV_moderate_strict,63.42018240957918
patch,last,80,test_deduplicated,V2X/Pedestrian_3D_hard_strict,59.15333156220449
patch,last,80,test_deduplicated,V2X/Pedestrian_BEV_hard_strict,63.46181446763902
patch,last,80,test_deduplicated,V2X/Pedestrian_3D_easy_loose,80.13335448009039
patch,last,80,test_deduplicated,V2X/Pedestrian_BEV_easy_loose,80.83471982697208
patch,last,80,test_deduplicated,V2X/Pedestrian_3D_moderate_loose,78.96691352280818
patch,last,80,test_deduplicated,V2X/Pedestrian_BEV_moderate_loose,79.61647805353701
patch,last,80,test_deduplicated,V2X/Pedestrian_3D_hard_loose,78.96267186193813
patch,last,80,test_deduplicated,V2X/Pedestrian_BEV_hard_loose,79.59564942238829
