run,condition,class,metric,iou,ap,asf_ap,delta_pp
DecControlled Gentle 08-06,countryside,bus,BEV,0.3,27.372924979006637,36.0397184999518,-8.666793520945166
DecControlled Gentle 08-06,countryside,bus,BEV,0.5,17.80423777986754,20.90592334494773,-3.1016855650801887
DecControlled Gentle 08-06,countryside,bus,BEV,0.7,6.470945069656528,10.73170731707317,-4.260762247416642
DecControlled Gentle 08-06,alleyway,sed,3D,0.3,38.03845327629179,39.07215294721143,-1.0336996709196384
DecControlled Gentle 08-06,alleyway,sed,3D,0.5,19.558391640103455,20.96564531014054,-1.4072536700370861
DecControlled Gentle 08-06,alleyway,sed,3D,0.7,2.5724759576377836,4.01230981209457,-1.4398338544567868
DecControlled Gentle 08-06,alleyway,sed,BEV,0.3,43.05293824591948,42.31873165539752,0.734206590521957
DecControlled Gentle 08-06,alleyway,sed,BEV,0.5,35.20021092666962,35.67898364381531,-0.4787727171456879
DecControlled Gentle 08-06,alleyway,sed,BEV,0.7,16.091977192299726,17.434291234731138,-1.3423140424314113
DecControlled Gentle 08-06,alleyway,bus,3D,0.3,26.25713858291129,20.6062415028347,5.650897080076589
DecControlled Gentle 08-06,alleyway,bus,3D,0.5,5.289492442778968,4.523238120081736,0.7662543226972325
DecControlled Gentle 08-06,alleyway,bus,3D,0.7,0.03048780487804878,0.0,0.03048780487804878
DecControlled Gentle 08-06,alleyway,bus,BEV,0.3,27.24295460941682,22.689073352107012,4.553881257309808
DecControlled Gentle 08-06,alleyway,bus,BEV,0.5,17.062328942084505,14.081002148461067,2.981326793623438
DecControlled Gentle 08-06,alleyway,bus,BEV,0.7,3.4385267048641053,0.9161713465874155,2.5223553582766898
DecControlled Gentle 08-06,parkinglots,sed,3D,0.3,73.65265539225513,66.40871747347634,7.243937918778784
DecControlled Gentle 08-06,parkinglots,sed,3D,0.5,47.375872271520166,44.80865464908141,2.567217622438754
DecControlled Gentle 08-06,parkinglots,sed,3D,0.7,25.70848866300895,26.793951241902597,-1.0854625788936474
DecControlled Gentle 08-06,parkinglots,sed,BEV,0.3,73.80050472183083,68.66446012317637,5.136044598654465
DecControlled Gentle 08-06,parkinglots,sed,BEV,0.5,60.55505215688807,55.84886359174085,4.706188565147215
DecControlled Gentle 08-06,parkinglots,sed,BEV,0.7,34.04421698084682,33.3808202999792,0.6633966808676206
DecControlled Gentle 08-06,parkinglots,bus,3D,0.3,61.009421648235595,64.18320887248913,-3.1737872242535374
DecControlled Gentle 08-06,parkinglots,bus,3D,0.5,27.644403811205425,38.036254785614894,-10.391850974409468
DecControlled Gentle 08-06,parkinglots,bus,3D,0.7,6.992545386843217,9.73464209921206,-2.742096712368843
DecControlled Gentle 08-06,parkinglots,bus,BEV,0.3,64.0643131787958,66.88404536536319,-2.8197321865673928
DecControlled Gentle 08-06,parkinglots,bus,BEV,0.5,41.03353984974119,53.54145289851559,-12.507913048774398
DecControlled Gentle 08-06,parkinglots,bus,BEV,0.7,15.572744337344785,20.058069360882467,-4.485325023537682
DecControlled Gentle 08-06,shoulder,sed,3D,0.3,97.3748307332847,97.31850614334388,0.05632458994081446
DecControlled Gentle 08-06,shoulder,sed,3D,0.5,94.6412220748689,94.58454349247377,0.056678582395136345
DecControlled Gentle 08-06,shoulder,sed,3D,0.7,69.81435733076563,65.77405586677395,4.040301463991682
DecControlled Gentle 08-06,shoulder,sed,BEV,0.3,99.90553312070169,99.8751358346124,0.030397286089296927
DecControlled Gentle 08-06,shoulder,sed,BEV,0.5,99.88152011411788,97.45584458702352,2.4256755270943557
DecControlled Gentle 08-06,shoulder,sed,BEV,0.7,91.29185257973899,91.51245419840147,-0.22060161866248507
DecControlled Gentle 08-06,shoulder,bus,3D,0.3,0.0,0.0,0.0
DecControlled Gentle 08-06,shoulder,bus,3D,0.5,0.0,0.0,0.0
DecControlled Gentle 08-06,shoulder,bus,3D,0.7,0.0,0.0,0.0
DecControlled Gentle 08-06,shoulder,bus,BEV,0.3,0.0,0.0,0.0
DecControlled Gentle 08-06,shoulder,bus,BEV,0.5,0.0,0.0,0.0
DecControlled Gentle 08-06,shoulder,bus,BEV,0.7,0.0,0.0,0.0
DecControlled Gentle 08-06,mountain,sed,3D,0.3,89.49839771255122,89.73177252636825,-0.2333748138170222
DecControlled Gentle 08-06,mountain,sed,3D,0.5,68.24828739918641,67.50128091242576,0.7470064867606538
DecControlled Gentle 08-06,mountain,sed,3D,0.7,10.369778693725374,13.183441358301417,-2.813662664576043
DecControlled Gentle 08-06,mountain,sed,BEV,0.3,92.2346302678189,92.32416645520637,-0.08953618738746627
DecControlled Gentle 08-06,mountain,sed,BEV,0.5,92.01984128027229,91.98190998465427,0.03793129561802289
DecControlled Gentle 08-06,mountain,sed,BEV,0.7,71.11868389748534,70.3354366985676,0.783247198917735
DecControlled Gentle 08-06,mountain,bus,3D,0.3,61.156762835317124,62.770121077896015,-1.6133582425788902
DecControlled Gentle 08-06,mountain,bus,3D,0.5,55.32132641539569,58.63868998244516,-3.317363567049469
