condition,cls,metric,iou,gt_objects,has_gt,l4dr_local_aligned,asf_official_archive,strong_rescored,strong_minus_l4dr,strong_minus_asf,local_gt_exact_match_l4dr_strong,asf_frame_gt_reverified
rain,bus,BEV,0.5,120,True,0.6949224941663226,7.893203954541796,8.356283824685358,7.661361330519036,0.4630798701435621,True,False
rain,bus,BEV,0.7,120,True,0.4369121006751669,0.7998099461514095,3.6512507372584393,3.2143386365832725,2.85144079110703,True,False
sleet,sed,3D,0.3,1622,True,67.1694266405103,70.42968503556456,72.51657044466288,5.34714380415258,2.086885409098315,True,False
sleet,sed,3D,0.5,1622,True,47.42177300816858,44.04536377990363,49.12897807261431,1.7072050644457306,5.083614292710678,True,False
sleet,sed,3D,0.7,1622,True,10.027844520500288,8.332399706694844,7.320596264524121,-2.7072482559761673,-1.0118034421707227,True,False
sleet,sed,BEV,0.3,1622,True,70.54217705577393,74.00247266003682,75.60991797975673,5.067740923982797,1.6074453197199148,True,False
sleet,sed,BEV,0.5,1622,True,59.56544683471308,64.29971942503285,63.84629266975349,4.2808458350404095,-0.4534267552793594,True,False
sleet,sed,BEV,0.7,1622,True,40.00465536788298,40.477166488231234,42.012900576850434,2.008245208967452,1.5357340886192006,True,False
sleet,bus,3D,0.3,1132,True,74.74922014367492,59.549548818902096,57.4718623927167,-17.277357750958217,-2.0776864261853945,True,False
sleet,bus,3D,0.5,1132,True,62.915050947980276,38.831956170888624,38.47873609677131,-24.43631485120897,-0.35322007411731704,True,False
sleet,bus,3D,0.7,1132,True,11.222414400001478,8.738664961928992,9.336519378624955,-1.8858950213765233,0.597854416695963,True,False
sleet,bus,BEV,0.3,1132,True,76.95430928553299,60.54280667676293,58.07812181919184,-18.876187466341143,-2.4646848575710862,True,False
sleet,bus,BEV,0.5,1132,True,70.21761581434156,50.64507343794078,48.31430227803312,-21.90331353630844,-2.3307711599076626,True,False
sleet,bus,BEV,0.7,1132,True,34.84362435943518,22.174883595120217,22.6760757063882,-12.167548653046982,0.5011921112679829,True,False
lightsnow,sed,3D,0.3,1360,True,87.70972634016832,88.23847406405349,89.55544896711352,1.8457226269452036,1.3169749030600286,True,False
lightsnow,sed,3D,0.5,1360,True,62.32145811621768,59.251436881905306,60.7450227634318,-1.5764353527858788,1.4935858815264922,True,False
lightsnow,sed,3D,0.7,1360,True,21.138535764888257,10.848713360826416,10.666389876541478,-10.472145888346779,-0.18232348428493772,True,False
lightsnow,sed,BEV,0.3,1360,True,90.38351203421313,90.85357079684266,90.13030216540857,-0.25320986880456076,-0.7232686314340953,True,False
lightsnow,sed,BEV,0.5,1360,True,87.95223290766204,87.9794133975015,87.46913846232847,-0.48309444533356327,-0.5102749351730296,True,False
lightsnow,sed,BEV,0.7,1360,True,66.66113293554335,67.89478918337454,67.43740771819881,0.776274782655463,-0.45738146517572886,True,False
lightsnow,bus,3D,0.3,540,True,80.47092661099529,88.25935219842833,89.56350131502805,9.092574704032756,1.3041491165997172,True,False
lightsnow,bus,3D,0.5,540,True,53.297252342940716,70.81127016589451,75.09186027851328,21.794607935572564,4.280590112618768,True,False
lightsnow,bus,3D,0.7,540,True,36.40180055252114,39.85807168093349,48.47579336661988,12.073992814098744,8.61772168568639,True,False
lightsnow,bus,BEV,0.3,540,True,88.47576229207289,94.46301987468712,94.64121254882689,6.165450256753999,0.17819267413976547,True,False
lightsnow,bus,BEV,0.5,540,True,68.17358560430498,91.02288067610948,89.13724914739298,20.963663543088003,-1.8856315287165017,True,False
lightsnow,bus,BEV,0.7,540,True,56.3281104281011,69.53403189422211,74.19409925632915,17.865988828228055,4.660067362107043,True,False
heavysnow,sed,3D,0.3,1611,True,58.487863244162,63.60797021105265,63.573542852068464,5.085679607906464,-0.03442735898418903,True,False
heavysnow,sed,3D,0.5,1611,True,53.33468441306086,49.52424782762442,50.48532396870704,-2.8493604443538203,0.9610761410826214,True,False
heavysnow,sed,3D,0.7,1611,True,16.71069849504577,16.6205910527445,18.18523248704392,1.4745339919981504,1.5646414342994177,True,False
heavysnow,sed,BEV,0.3,1611,True,61.054058430420156,63.89596450476439,65.87382823123504,4.819769800814882,1.9778637264706447,True,False
heavysnow,sed,BEV,0.5,1611,True,56.543186491816954,61.279116602695694,61.33387520169754,4.790688709880584,0.05475859900184332,True,False
heavysnow,sed,BEV,0.7,1611,True,45.05851013954842,42.616778269169906,43.24680476470426,-1.8117053748441592,0.6300264955343522,True,False
heavysnow,bus,3D,0.3,1137,True,63.763961728938746,68.20418622088357,72.34123850166718,8.577276772728432,4.137052280783607,True,False
heavysnow,bus,3D,0.5,1137,True,41.10701771835895,32.550531908424915,39.36839489426447,-1.7386228240944774,6.817862985839554,True,False
heavysnow,bus,3D,0.7,1137,True,15.893298968296982,7.825995971587418,13.94172379466292,-1.9515751736340619,6.115727823075502,True,False
heavysnow,bus,BEV,0.3,1137,True,74.81388708814588,87.51376457522746,89.50402222660298,14.690135138457109,1.9902576513755292,True,False
