method,condition,cls,metric,iou,ap
Strong (existing),highway,bus,3d,0.7,9.706240884579746
Strong (existing),highway,bus,bev,0.3,68.07565685696194
Strong (existing),highway,bus,bev,0.5,50.83286424169474
Strong (existing),highway,bus,bev,0.7,21.60614770798724
Strong (existing),countryside,sed,3d,0.3,60.01597669605143
Strong (existing),countryside,sed,3d,0.5,34.23701683143703
Strong (existing),countryside,sed,3d,0.7,8.126580202056259
Strong (existing),countryside,sed,bev,0.3,65.32674491177677
Strong (existing),countryside,sed,bev,0.5,55.9302485379546
Strong (existing),countryside,sed,bev,0.7,23.279986194122856
Strong (existing),countryside,bus,3d,0.3,24.83445764156118
Strong (existing),countryside,bus,3d,0.5,12.315423023283047
Strong (existing),countryside,bus,3d,0.7,1.5864868372921757
Strong (existing),countryside,bus,bev,0.3,27.346297537122016
Strong (existing),countryside,bus,bev,0.5,19.598617837423937
Strong (existing),countryside,bus,bev,0.7,7.624046222379041
Strong (existing),alleyway,sed,3d,0.3,38.10762820311203
Strong (existing),alleyway,sed,3d,0.5,21.068004816468736
Strong (existing),alleyway,sed,3d,0.7,2.7090036760373577
Strong (existing),alleyway,sed,bev,0.3,41.15283803680305
Strong (existing),alleyway,sed,bev,0.5,35.26825340008451
Strong (existing),alleyway,sed,bev,0.7,16.003937445640403
Strong (existing),alleyway,bus,3d,0.3,22.975626765901723
Strong (existing),alleyway,bus,3d,0.5,3.230899741104333
Strong (existing),alleyway,bus,3d,0.7,0.14139271827500885
Strong (existing),alleyway,bus,bev,0.3,25.48163960602573
Strong (existing),alleyway,bus,bev,0.5,11.702928632474844
Strong (existing),alleyway,bus,bev,0.7,1.6765136595465333
Strong (existing),parkinglots,sed,3d,0.3,75.30394383216739
Strong (existing),parkinglots,sed,3d,0.5,51.038719351754345
Strong (existing),parkinglots,sed,3d,0.7,27.428661719511965
Strong (existing),parkinglots,sed,bev,0.3,75.53350726183027
Strong (existing),parkinglots,sed,bev,0.5,60.98240087068544
Strong (existing),parkinglots,sed,bev,0.7,36.34971073197592
Strong (existing),parkinglots,bus,3d,0.3,66.7891103992397
Strong (existing),parkinglots,bus,3d,0.5,40.03288602075996
Strong (existing),parkinglots,bus,3d,0.7,9.365319522322837
Strong (existing),parkinglots,bus,bev,0.3,67.05096464086905
Strong (existing),parkinglots,bus,bev,0.5,51.34177197904543
Strong (existing),parkinglots,bus,bev,0.7,19.817677454932678
Strong (existing),shoulder,sed,3d,0.3,97.32176294379819
Strong (existing),shoulder,sed,3d,0.5,94.57080791966906
Strong (existing),shoulder,sed,3d,0.7,77.38051348362906
Strong (existing),shoulder,sed,bev,0.3,99.83038797897997
Strong (existing),shoulder,sed,bev,0.5,97.42481899043605
Strong (existing),shoulder,sed,bev,0.7,90.76199212452104
Strong (existing),shoulder,bus,3d,0.3,0.0
Strong (existing),shoulder,bus,3d,0.5,0.0
Strong (existing),shoulder,bus,3d,0.7,0.0
Strong (existing),shoulder,bus,bev,0.3,0.0
Strong (existing),shoulder,bus,bev,0.5,0.0
Strong (existing),shoulder,bus,bev,0.7,0.0
Strong (existing),mountain,sed,3d,0.3,89.47650124812243
Strong (existing),mountain,sed,3d,0.5,66.29358514248841
Strong (existing),mountain,sed,3d,0.7,10.114399327195702
Strong (existing),mountain,sed,bev,0.3,92.1312689546302
Strong (existing),mountain,sed,bev,0.5,91.63194436937057
Strong (existing),mountain,sed,bev,0.7,74.36676553071966
Strong (existing),mountain,bus,3d,0.3,59.19952551026516
Strong (existing),mountain,bus,3d,0.5,51.79729009014468
Strong (existing),mountain,bus,3d,0.7,15.122482154437296
Strong (existing),mountain,bus,bev,0.3,59.19952551026516
Strong (existing),mountain,bus,bev,0.5,56.0950666799367
Strong (existing),mountain,bus,bev,0.7,38.34811226094517
Strong (existing),university,sed,3d,0.3,69.713438137072
Strong (existing),university,sed,3d,0.5,44.96284351787703
Strong (existing),university,sed,3d,0.7,4.998552200726408
Strong (existing),university,sed,bev,0.3,72.21129353206112
Strong (existing),university,sed,bev,0.5,66.0374101367436
Strong (existing),university,sed,bev,0.7,30.40756965753455
Strong (existing),university,bus,3d,0.3,0.0
Strong (existing),university,bus,3d,0.5,0.0
Strong (existing),university,bus,3d,0.7,0.0
Strong (existing),university,bus,bev,0.3,0.0
Strong (existing),university,bus,bev,0.5,0.0
Strong (existing),university,bus,bev,0.7,0.0
"ASF (local, 11 epochs)",all,sed,3d,0.3,74.45187402974639
"ASF (local, 11 epochs)",all,sed,3d,0.5,51.52114677058114
"ASF (local, 11 epochs)",all,sed,3d,0.7,11.579220369262275
"ASF (local, 11 epochs)",all,sed,bev,0.3,77.36881467763101
"ASF (local, 11 epochs)",all,sed,bev,0.5,71.11499969696642
